t,x,u
0.0,0.0,1.0
0.0,0.01,0.9995065603657316
0.0,0.02,0.9980267284282716
0.0,0.03,0.99556196460308
0.0,0.04,0.9921147013144779
0.0,0.05,0.9876883405951378
0.0,0.06,0.9822872507286887
0.0,0.07,0.9759167619387474
0.0,0.08,0.9685831611286311
0.0,0.09,0.9602936856769431
0.0,0.1,0.9510565162951535
0.0,0.11,0.9408807689542255
0.0,0.12,0.9297764858882515
0.0,0.13,0.9177546256839811
0.0,0.14,0.9048270524660195
0.0,0.15,0.8910065241883679
0.0,0.16,0.8763066800438636
0.0,0.17,0.8607420270039436
0.0,0.18,0.8443279255020151
0.0,0.19,0.8270805742745618
0.0,0.2,0.8090169943749475
0.0,0.21,0.7901550123756904
0.0,0.22,0.7705132427757893
0.0,0.23,0.7501110696304596
0.0,0.24,0.7289686274214116
0.0,0.25,0.7071067811865476
0.0,0.26,0.6845471059286886
0.0,0.27,0.6613118653236518
0.0,0.28,0.6374239897486896
0.0,0.29,0.6129070536529766
0.0,0.3,0.5877852522924731
0.0,0.31,0.5620833778521306
0.0,0.32,0.5358267949789965
0.0,0.33,0.5090414157503712
0.0,0.34,0.48175367410171516
0.0,0.35000000000000003,0.4539904997395468
0.0,0.36,0.42577929156507266
0.0,0.37,0.39714789063478056
0.0,0.38,0.3681245526846781
0.0,0.39,0.3387379202452915
0.0,0.4,0.30901699437494745
0.0,0.41000000000000003,0.2789911060392293
0.0,0.42,0.24868988716485496
0.0,0.43,0.2181432413965427
0.0,0.44,0.18738131458572474
0.0,0.45,0.15643446504023092
0.0,0.46,0.12533323356430426
0.0,0.47000000000000003,0.09410831331851428
0.0,0.48,0.06279051952931353
0.0,0.49,0.031410759078128396
0.0,0.5,6.123233995736766e-17
0.0,0.51,-0.03141075907812828
0.0,0.52,-0.0627905195293134
0.0,0.53,-0.09410831331851438
0.0,0.54,-0.12533323356430437
0.0,0.55,-0.15643446504023104
0.0,0.56,-0.18738131458572482
0.0,0.5700000000000001,-0.21814324139654256
0.0,0.58,-0.24868988716485463
0.0,0.59,-0.27899110603922916
0.0,0.6,-0.30901699437494734
0.0,0.61,-0.33873792024529137
0.0,0.62,-0.368124552684678
0.0,0.63,-0.39714789063478045
0.0,0.64,-0.4257792915650727
0.0,0.65,-0.4539904997395467
0.0,0.66,-0.48175367410171543
0.0,0.67,-0.5090414157503713
0.0,0.68,-0.5358267949789969
0.0,0.6900000000000001,-0.5620833778521307
0.0,0.7000000000000001,-0.587785252292473
0.0,0.71,-0.6129070536529763
0.0,0.72,-0.6374239897486897
0.0,0.73,-0.6613118653236517
0.0,0.74,-0.6845471059286887
0.0,0.75,-0.7071067811865475
0.0,0.76,-0.7289686274214113
0.0,0.77,-0.7501110696304596
0.0,0.78,-0.7705132427757891
0.0,0.79,-0.7901550123756904
0.0,0.8,-0.8090169943749473
0.0,0.81,-0.8270805742745619
0.0,0.8200000000000001,-0.8443279255020151
0.0,0.8300000000000001,-0.8607420270039438
0.0,0.84,-0.8763066800438634
0.0,0.85,-0.8910065241883678
0.0,0.86,-0.9048270524660194
0.0,0.87,-0.9177546256839811
0.0,0.88,-0.9297764858882513
0.0,0.89,-0.9408807689542255
0.0,0.9,-0.9510565162951535
0.0,0.91,-0.9602936856769431
0.0,0.92,-0.9685831611286311
0.0,0.93,-0.9759167619387474
0.0,0.9400000000000001,-0.9822872507286887
0.0,0.9500000000000001,-0.9876883405951377
0.0,0.96,-0.9921147013144778
0.0,0.97,-0.99556196460308
0.0,0.98,-0.9980267284282716
0.0,0.99,-0.9995065603657316
0.0,1.0,-1.0
0.01,0.0,0.9900498337491681
0.01,0.01,1.0001
0.01,0.02,0.9997065603657316
0.01,0.03,0.9983267284282715
0.01,0.04,0.99596196460308
0.01,0.05,0.9926147013144778
0.01,0.06,0.9882883405951378
0.01,0.07,0.9829872507286888
0.01,0.08,0.9767167619387475
0.01,0.09,0.9694831611286311
0.01,0.1,0.9612936856769431
0.01,0.11,0.9521565162951535
0.01,0.12,0.9420807689542254
0.01,0.13,0.9310764858882514
0.01,0.14,0.9191546256839811
0.01,0.15,0.9063270524660194
0.01,0.16,0.892606524188368
0.01,0.17,0.8780066800438636
0.01,0.18,0.8625420270039437
0.01,0.19,0.8462279255020151
0.01,0.2,0.8290805742745618
0.01,0.21,0.8111169943749474
0.01,0.22,0.7923550123756904
0.01,0.23,0.7728132427757892
0.01,0.24,0.7525110696304596
0.01,0.25,0.7314686274214115
0.01,0.26,0.7097067811865476
0.01,0.27,0.6872471059286887
0.01,0.28,0.6641118653236519
0.01,0.29,0.6403239897486896
0.01,0.3,0.6159070536529766
0.01,0.31,0.5908852522924731
0.01,0.32,0.5652833778521306
0.01,0.33,0.5391267949789965
0.01,0.34,0.5124414157503712
0.01,0.35000000000000003,0.48525367410171516
0.01,0.36,0.4575904997395468
0.01,0.37,0.42947929156507264
0.01,0.38,0.4009478906347806
0.01,0.39,0.3720245526846781
0.01,0.4,0.3427379202452915
0.01,0.41000000000000003,0.31311699437494744
0.01,0.42,0.28319110603922926
0.01,0.43,0.252989887164855
0.01,0.44,0.2225432413965427
0.01,0.45,0.19188131458572474
0.01,0.46,0.16103446504023092
0.01,0.47000000000000003,0.13003323356430427
0.01,0.48,0.09890831331851428
0.01,0.49,0.06769051952931353
0.01,0.5,0.036410759078128394
0.01,0.51,0.005100000000000063
0.01,0.52,-0.02621075907812828
0.01,0.53,-0.0574905195293134
0.01,0.54,-0.08870831331851438
0.01,0.55,-0.11983323356430436
0.01,0.56,-0.15083446504023104
0.01,0.5700000000000001,-0.1816813145857248
0.01,0.58,-0.21234324139654256
0.01,0.59,-0.24278988716485464
0.01,0.6,-0.27299110603922916
0.01,0.61,-0.30291699437494735
0.01,0.62,-0.3325379202452914
0.01,0.63,-0.36182455268467795
0.01,0.64,-0.39074789063478044
0.01,0.65,-0.4192792915650727
0.01,0.66,-0.4473904997395467
0.01,0.67,-0.47505367410171545
0.01,0.68,-0.5022414157503713
0.01,0.6900000000000001,-0.5289267949789969
0.01,0.7000000000000001,-0.5550833778521307
0.01,0.71,-0.580685252292473
0.01,0.72,-0.6057070536529763
0.01,0.73,-0.6301239897486898
0.01,0.74,-0.6539118653236518
0.01,0.75,-0.6770471059286888
0.01,0.76,-0.6995067811865474
0.01,0.77,-0.7212686274214113
0.01,0.78,-0.7423110696304596
0.01,0.79,-0.7626132427757891
0.01,0.8,-0.7821550123756904
0.01,0.81,-0.8009169943749473
0.01,0.8200000000000001,-0.818880574274562
0.01,0.8300000000000001,-0.8360279255020151
0.01,0.84,-0.8523420270039438
0.01,0.85,-0.8678066800438634
0.01,0.86,-0.8824065241883677
0.01,0.87,-0.8961270524660193
0.01,0.88,-0.9089546256839811
0.01,0.89,-0.9208764858882513
0.01,0.9,-0.9318807689542254
0.01,0.91,-0.9419565162951535
0.01,0.92,-0.9510936856769431
0.01,0.93,-0.9592831611286311
0.01,0.9400000000000001,-0.9665167619387475
0.01,0.9500000000000001,-0.9727872507286888
0.01,0.96,-0.9780883405951376
0.01,0.97,-0.9824147013144777
0.01,0.98,-0.98576196460308
0.01,0.99,-0.9881267284282715
0.01,1.0,-0.9895065603657316
0.02,0.0,0.9801986733067553
0.02,0.01,0.9902498337491681
0.02,0.02,1.0004
0.02,0.03,1.0001065603657315
0.02,0.04,0.9988267284282715
0.02,0.05,0.99656196460308
0.02,0.06,0.9933147013144779
0.02,0.07,0.9890883405951378
0.02,0.08,0.9838872507286888
0.02,0.09,0.9777167619387475
0.02,0.1,0.9705831611286311
0.02,0.11,0.962493685676943
0.02,0.12,0.9534565162951535
0.02,0.13,0.9434807689542254
0.02,0.14,0.9325764858882514
0.02,0.15,0.9207546256839811
0.02,0.16,0.9080270524660194
0.02,0.17,0.894406524188368
0.02,0.18,0.8799066800438636
0.02,0.19,0.8645420270039437
0.02,0.2,0.8483279255020151
0.02,0.21,0.8312805742745618
0.02,0.22,0.8134169943749474
0.02,0.23,0.7947550123756904
0.02,0.24,0.7753132427757892
0.02,0.25,0.7551110696304596
0.02,0.26,0.7341686274214115
0.02,0.27,0.7125067811865476
0.02,0.28,0.6901471059286887
0.02,0.29,0.6671118653236519
0.02,0.3,0.6434239897486896
0.02,0.31,0.6191070536529766
0.02,0.32,0.5941852522924731
0.02,0.33,0.5686833778521305
0.02,0.34,0.5426267949789965
0.02,0.35000000000000003,0.5160414157503712
0.02,0.36,0.48895367410171514
0.02,0.37,0.4613904997395468
0.02,0.38,0.43337929156507266
0.02,0.39,0.4049478906347806
0.02,0.4,0.3761245526846781
0.02,0.41000000000000003,0.34693792024529146
0.02,0.42,0.31741699437494747
0.02,0.43,0.28759110603922927
0.02,0.44,0.257489887164855
0.02,0.45,0.22714324139654268
0.02,0.46,0.19658131458572475
0.02,0.47000000000000003,0.16583446504023092
0.02,0.48,0.13493323356430426
0.02,0.49,0.10390831331851429
0.02,0.5,0.07279051952931354
0.02,0.51,0.0416107590781284
0.02,0.52,0.010400000000000065
0.02,0.53,-0.02081075907812828
0.02,0.54,-0.051990519529313405
0.02,0.55,-0.08310831331851437
0.02,0.56,-0.11413323356430437
0.02,0.5700000000000001,-0.14503446504023104
0.02,0.58,-0.17578131458572482
0.02,0.59,-0.20634324139654256
0.02,0.6,-0.23668988716485465
0.02,0.61,-0.2667911060392292
0.02,0.62,-0.2966169943749474
0.02,0.63,-0.32613792024529137
0.02,0.64,-0.35532455268467794
0.02,0.65,-0.38414789063478044
0.02,0.66,-0.4125792915650727
0.02,0.67,-0.44059049973954667
0.02,0.68,-0.46815367410171543
0.02,0.6900000000000001,-0.4952414157503713
0.02,0.7000000000000001,-0.5218267949789969
0.02,0.71,-0.5478833778521307
0.02,0.72,-0.5733852522924731
0.02,0.73,-0.5983070536529763
0.02,0.74,-0.6226239897486898
0.02,0.75,-0.6463118653236517
0.02,0.76,-0.6693471059286887
0.02,0.77,-0.6917067811865474
0.02,0.78,-0.7133686274214113
0.02,0.79,-0.7343110696304596
0.02,0.8,-0.7545132427757891
0.02,0.81,-0.7739550123756904
0.02,0.8200000000000001,-0.7926169943749474
0.02,0.8300000000000001,-0.810480574274562
0.02,0.84,-0.8275279255020151
0.02,0.85,-0.8437420270039437
0.02,0.86,-0.8591066800438634
0.02,0.87,-0.8736065241883677
0.02,0.88,-0.8872270524660193
0.02,0.89,-0.8999546256839811
0.02,0.9,-0.9117764858882513
0.02,0.91,-0.9226807689542255
0.02,0.92,-0.9326565162951536
0.02,0.93,-0.9416936856769431
0.02,0.9400000000000001,-0.9497831611286311
0.02,0.9500000000000001,-0.9569167619387474
0.02,0.96,-0.9630872507286887
0.02,0.97,-0.9682883405951376
0.02,0.98,-0.9725147013144777
0.02,0.99,-0.97576196460308
0.02,1.0,-0.9780267284282715
0.03,0.0,0.9704455335485082
0.03,0.01,0.9804986733067552
0.03,0.02,0.990649833749168
0.03,0.03,1.0009
0.03,0.04,1.0007065603657315
0.03,0.05,0.9995267284282715
0.03,0.06,0.99736196460308
0.03,0.07,0.9942147013144779
0.03,0.08,0.9900883405951378
0.03,0.09,0.9849872507286888
0.03,0.1,0.9789167619387474
0.03,0.11,0.971883161128631
0.03,0.12,0.963893685676943
0.03,0.13,0.9549565162951534
0.03,0.14,0.9450807689542254
0.03,0.15,0.9342764858882514
0.03,0.16,0.9225546256839812
0.03,0.17,0.9099270524660195
0.03,0.18,0.896406524188368
0.03,0.19,0.8820066800438636
0.03,0.2,0.8667420270039436
0.03,0.21,0.850627925502015
0.03,0.22,0.8336805742745618
0.03,0.23,0.8159169943749474
0.03,0.24,0.7973550123756904
0.03,0.25,0.7780132427757892
0.03,0.26,0.7579110696304596
0.03,0.27,0.7370686274214115
0.03,0.28,0.7155067811865476
0.03,0.29,0.6932471059286887
0.03,0.3,0.6703118653236518
0.03,0.31,0.6467239897486896
0.03,0.32,0.6225070536529765
0.03,0.33,0.597685252292473
0.03,0.34,0.5722833778521306
0.03,0.35000000000000003,0.5463267949789965
0.03,0.36,0.5198414157503712
0.03,0.37,0.49285367410171516
0.03,0.38,0.4653904997395468
0.03,0.39,0.43747929156507265
0.03,0.4,0.4091478906347806
0.03,0.41000000000000003,0.3804245526846781
0.03,0.42,0.3513379202452915
